name,score,release_date,region,platform,genres,themes,publishers
planescape: torment,9.0,1999,Japan,PC,role-playing,,sega
planescape: torment,9.0,1999,Europe,PC,role-playing,,sega
planescape: torment,9.0,1999,North America,iOS (iPhone/iPad),role-playing,,sega
mechcommander gold,7.5,1999,North America,PC,strategy,,
links ls 2000,7.9,1999,North America,PC,sports,,
links ls 2000,7.9,1999,North America,Macintosh,sports,,
asheron's call,8.6,1999,North America,PC,role-playing,fantasy,
neverwinter nights,9.2,2002,Europe,PC,role-playing,,sega
neverwinter nights,9.2,2002,North America,PC,role-playing,,sega
neverwinter nights,9.2,2002,North America,Macintosh,role-playing,,sega
neverwinter nights,9.2,2002,North America,Zodiac,role-playing,,sega
neverwinter nights,9.2,2002,Asia,PC,role-playing,,sega
neverwinter nights,9.2,2002,North America,iOS (iPhone/iPad),role-playing,,sega
freespace 2,9.4,1999,North America,PC,simulation,sci-fi,
freespace 2,9.4,1999,Europe,PC,simulation,sci-fi,
freespace 2,9.4,1999,North America,Macintosh,simulation,sci-fi,
freespace 2,9.4,1999,North America,Linux,simulation,sci-fi,
outcast,8.6,1999,North America,PC,adventure,,
outcast,8.6,1999,Europe,PC,adventure,,
