name,score,release_date,region,platform,genres,themes,publishers
fifa 99,9.2,1998,Europe,PlayStation,sports,,electronic arts
asteroids,7.0,1979,North America,Atari 5200,shooter,,
asteroids,7.0,1979,North America,Atari 2600,shooter,,
asteroids,7.0,1979,Japan,Atari 2600,shooter,,
asteroids,7.0,1979,Europe,Atari 2600,shooter,,
asteroids,7.0,1979,North America,Atari 7800,shooter,,
asteroids,7.0,1979,North America,Atari 8-bit,shooter,,
asteroids,7.0,1979,North America,Game Boy,shooter,,
asteroids,7.0,1979,Europe,Game Boy,shooter,,
asteroids,7.0,1979,North America,Arcade Games,shooter,,
asteroids,7.0,1979,Australia,Atari 2600,shooter,,
asteroids,7.0,1979,Europe,Oric 1/Atmos,shooter,,
asteroids,7.0,1979,North America,Mobile,shooter,,
thief: the dark project,9.1,1998,North America,PC,adventure,fantasy,
thief: the dark project,9.1,1998,Europe,PC,adventure,fantasy,
dark vengeance,7.0,1998,North America,PC,adventure,,
dark vengeance,7.0,1998,North America,Macintosh,adventure,,
west front,8.0,1998,North America,PC,strategy,,
deer hunter ii,5.8,1998,North America,PC,sports,,
the elder scrolls adventures: redguard,8.1,1998,North America,PC,adventure,fantasy,
the elder scrolls adventures: redguard,8.1,1998,Europe,PC,adventure,fantasy,
slingo,1.5,1998,North America,PC,,,
slingo,1.5,1998,North America,Dedicated Console,,,
wwii fighters,9.0,1998,North America,PC,simulation,military,electronic arts
speed busters: american highways,7.5,1998,North America,PC,arcade,,ubisoft
uprising 2: lead and destroy,7.7,1998,North America,PC,strategy,,
gangsters,5.5,1998,North America,PC,strategy,,
gangsters,5.5,1998,Europe,PC,strategy,,
baldur's gate,9.2,1998,North America,PC,role-playing,,sega
baldur's gate,9.2,1998,Japan,PC,role-playing,,sega
baldur's gate,9.2,1998,Europe,PC,role-playing,,sega
baldur's gate,9.2,1998,North America,Dreamcast,role-playing,,sega
baldur's gate,9.2,1998,North America,Macintosh,role-playing,,sega
baldur's gate,9.2,1998,North America,Mobile,role-playing,,sega
baldur's gate,9.2,1998,North America,PlayStation,role-playing,,sega
star wars: force commander,6.0,2000,North America,PC,strategy,sci-fi,
star wars: force commander,6.0,2000,Europe,PC,strategy,sci-fi,
star wars: force commander,6.0,2000,South America,PC,strategy,sci-fi,
heavy gear ii,9.0,1999,North America,PC,simulation,sci-fi,activision
extreme winter sports,2.7,1999,North America,PC,sports,,
starsiege,7.3,1999,North America,PC,simulation,sci-fi,
starsiege,7.3,1999,Europe,PC,simulation,sci-fi,
power chess 98,7.6,1998,North America,PC,,,
